index,label,description,units,sql_datatype,type,hidden
1,TIMESTAMP,Unix integer timestamp,s,INTEGER,datetime,TRUE
2,YEAR,Year of the observation,,INTEGER,number,TRUE
3,MONTH,Month (1-12) of the observation,,INTEGER,number,TRUE
4,DAY,Day of the month,,INTEGER,number,TRUE
5,HOUR,Hour (0-23) of the observation,,INTEGER,number,TRUE
6,MINUTE,Minute of the Hour (0-59),,INTEGER,number,TRUE
7,DAYOFYEAR,Day of the Year,,INTEGER,number,TRUE
8,CODE1,System Code 1 (not used in database),,REAL,number,TRUE
9,CODE2,System Code 2 (not used in database),,REAL,number,TRUE
10,CODE3,System Code 3 (not used in database),,REAL,number,TRUE
11,UGAAINV01INVSTATUS,Device Status,,REAL,number,FALSE
12,UGAAINV01ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
13,UGAAINV01ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
14,UGAAINV01DC1A,DC Current Input 1,A,REAL,number,FALSE
15,UGAAINV01DC1V,DC Voltage Input 1,V,REAL,number,FALSE
16,UGAAINV01DC1W,DC Power Input 1,W,REAL,number,FALSE
17,UGAAINV01ACW,Active Power Across all lines,W,REAL,number,FALSE
18,UGAAINV01ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
19,UGAAINV01ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
20,UGAAINV01ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
21,UGAAINV01ACL1A,Grid Current L1,A,REAL,number,FALSE
22,UGAAINV01ACL2A,Grid Current L2,A,REAL,number,FALSE
23,UGAAINV01ACL3A,Grid Current L3,A,REAL,number,FALSE
24,UGAAINV01ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
25,UGAAINV01DC2A,DC Current Input 2,I,REAL,number,FALSE
26,UGAAINV01DC2V,DC Voltage Input 2,V,REAL,number,FALSE
27,UGAAINV01DC2W,DC Power Input 2,W,REAL,number,FALSE
28,UGAAINV01ERR,Error Code,,REAL,number,FALSE
29,UGAAINV02INVSTATUS,Device Status,,REAL,number,FALSE
30,UGAAINV02ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
31,UGAAINV02ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
32,UGAAINV02DC1A,DC Current Input 1,A,REAL,number,FALSE
33,UGAAINV02DC1V,DC Voltage Input 1,V,REAL,number,FALSE
34,UGAAINV02DC1W,DC Power Input 1,W,REAL,number,FALSE
35,UGAAINV02ACW,Active Power Across all lines,W,REAL,number,FALSE
36,UGAAINV02ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
37,UGAAINV02ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
38,UGAAINV02ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
39,UGAAINV02ACL1A,Grid Current L1,A,REAL,number,FALSE
40,UGAAINV02ACL2A,Grid Current L2,A,REAL,number,FALSE
41,UGAAINV02ACL3A,Grid Current L3,A,REAL,number,FALSE
42,UGAAINV02ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
43,UGAAINV02DC2A,DC Current Input 2,I,REAL,number,FALSE
44,UGAAINV02DC2V,DC Voltage Input 2,V,REAL,number,FALSE
45,UGAAINV02DC2W,DC Power Input 2,W,REAL,number,FALSE
46,UGAAINV02ERR,Error Code,,REAL,number,FALSE
47,UGAAINV03INVSTATUS,Device Status,,REAL,number,FALSE
48,UGAAINV03ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
49,UGAAINV03ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
50,UGAAINV03DC1A,DC Current Input 1,A,REAL,number,FALSE
51,UGAAINV03DC1V,DC Voltage Input 1,V,REAL,number,FALSE
52,UGAAINV03DC1W,DC Power Input 1,W,REAL,number,FALSE
53,UGAAINV03ACW,Active Power Across all lines,W,REAL,number,FALSE
54,UGAAINV03ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
55,UGAAINV03ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
56,UGAAINV03ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
57,UGAAINV03ACL1A,Grid Current L1,A,REAL,number,FALSE
58,UGAAINV03ACL2A,Grid Current L2,A,REAL,number,FALSE
59,UGAAINV03ACL3A,Grid Current L3,A,REAL,number,FALSE
