index,label,description,units,sql_datatype,type,hidden
1,TIMESTAMP,Unix integer timestamp,s,INTEGER,datetime,TRUE
2,YEAR,Year of the observation,,INTEGER,number,TRUE
3,MONTH,Month (1-12) of the observation,,INTEGER,number,TRUE
4,DAY,Day of the month,,INTEGER,number,TRUE
5,HOUR,Hour (0-23) of the observation,,INTEGER,number,TRUE
6,MINUTE,Minute of the Hour (0-59),,INTEGER,number,TRUE
7,DAYOFYEAR,Day of the Year,,INTEGER,number,TRUE
8,CODE1,System Code 1 (not used in database),,REAL,number,TRUE
9,CODE2,System Code 2 (not used in database),,REAL,number,TRUE
10,CODE3,System Code 3 (not used in database),,REAL,number,TRUE
11,UGAAMETERACL1V,Phase to neutral voltage AN,V,REAL,number,FALSE
12,UGAAMETERACL2V,Phase to neutral voltage BN,V,REAL,number,FALSE
13,UGAAMETERACL3V,Phase to neutral voltage CN,V,REAL,number,FALSE
14,UGAAMETERACL1A,Line current phase A,A,REAL,number,FALSE
15,UGAAMETERACL2A,Line current phase B,A,REAL,number,FALSE
16,UGAAMETERACL3A,Line current phase C,A,REAL,number,FALSE
17,UGAAMETERACW,Active Power,W,REAL,number,FALSE
18,UGAAMETERACVAR,Reactive Power,VAR,REAL,number,FALSE
19,UGAAMETERACL1ANEU,Line current neutral,A,REAL,number,FALSE
20,UGAAMETERACDELWH,Generated Active Energy,Wh,REAL,number,FALSE
21,UGAAMETERACRECWH,Consumed Active Energy,Wh,REAL,number,FALSE
22,UGAAMETERACNETWH,Net Active Energy,Wh,REAL,number,FALSE
23,UGAAMETERACDELVARH,Generated Reactive Energy,VARh,REAL,number,FALSE
24,UGAAMETERACRECVARH,Consumed Reactive Energy,VARh,REAL,number,FALSE
25,UGABMETERACL1V,Phase to neutral voltage AN,V,REAL,number,FALSE
26,UGABMETERACL2V,Phase to neutral voltage BN,V,REAL,number,FALSE
27,UGABMETERACL3V,Phase to neutral voltage CN,V,REAL,number,FALSE
28,UGABMETERACL1A,Line current phase A,A,REAL,number,FALSE
29,UGABMETERACL2A,Line current phase B,A,REAL,number,FALSE
30,UGABMETERACL3A,Line current phase C,A,REAL,number,FALSE
31,UGABMETERACW,Active Power,W,REAL,number,FALSE
32,UGABMETERACVAR,Reactive Power,VAR,REAL,number,FALSE
33,UGABMETERACL1ANEU,Line current neutral,A,REAL,number,FALSE
34,UGABMETERACDELWH,Generated Active Energy,Wh,REAL,number,FALSE
35,UGABMETERACRECWH,Consumed Active Energy,Wh,REAL,number,FALSE
36,UGABMETERACNETWH,Net Active Energy,Wh,REAL,number,FALSE
37,UGABMETERACDELVARH,Generated Reactive Energy,VARh,REAL,number,FALSE
38,UGABMETERACRECVARH,Consumed Reactive Energy,VARh,REAL,number,FALSE
39,UGACMETERACL1V,Phase to neutral voltage AN,V,REAL,number,FALSE
40,UGACMETERACL2V,Phase to neutral voltage BN,V,REAL,number,FALSE
41,UGACMETERACL3V,Phase to neutral voltage CN,V,REAL,number,FALSE
42,UGACMETERACL1A,Line current phase A,A,REAL,number,FALSE
43,UGACMETERACL2A,Line current phase B,A,REAL,number,FALSE
44,UGACMETERACL3A,Line current phase C,A,REAL,number,FALSE
45,UGACMETERACW,Active Power,W,REAL,number,FALSE
46,UGACMETERACVAR,Reactive Power,VAR,REAL,number,FALSE
47,UGACMETERACL1ANEU,Line current neutral,A,REAL,number,FALSE
48,UGACMETERACDELWH,Generated Active Energy,Wh,REAL,number,FALSE
49,UGACMETERACRECWH,Consumed Active Energy,Wh,REAL,number,FALSE
50,UGACMETERACNETWH,Net Active Energy,Wh,REAL,number,FALSE
51,UGACMETERACDELVARH,Generated Reactive Energy,VARh,REAL,number,FALSE
52,UGACMETERACRECVARH,Consumed Reactive Energy,VARh,REAL,number,FALSE
53,UGADMETERACL1V,Phase to neutral voltage AN,V,REAL,number,FALSE
54,UGADMETERACL2V,Phase to neutral voltage BN,V,REAL,number,FALSE
55,UGADMETERACL3V,Phase to neutral voltage CN,V,REAL,number,FALSE
56,UGADMETERACL1A,Line current phase A,A,REAL,number,FALSE
57,UGADMETERACL2A,Line current phase B,A,REAL,number,FALSE
58,UGADMETERACL3A,Line current phase C,A,REAL,number,FALSE
59,UGADMETERACW,Active Power,W,REAL,number,FALSE
60,UGADMETERACVAR,Reactive Power,VAR,REAL,number,FALSE
61,UGADMETERACL1ANEU,Line current neutral,A,REAL,number,FALSE
