index,label,description,units,sql_datatype,type,hidden
1,TIMESTAMP,Unix integer timestamp,s,INTEGER,datetime,TRUE
2,YEAR,Year of the observation,,INTEGER,number,TRUE
3,MONTH,Month (1-12) of the observation,,INTEGER,number,TRUE
4,DAY,Day of the month,,INTEGER,number,TRUE
5,HOUR,Hour (0-23) of the observation,,INTEGER,number,TRUE
6,MINUTE,Minute of the Hour (0-59),,INTEGER,number,TRUE
7,DAYOFYEAR,Day of the Year,,INTEGER,number,TRUE
8,CODE1,System Code 1 (not used in database),,REAL,number,TRUE
9,CODE2,System Code 2 (not used in database),,REAL,number,TRUE
10,CODE3,System Code 3 (not used in database),,REAL,number,TRUE
11,UGACINV01INVSTATUS,Device Status,,REAL,number,FALSE
12,UGACINV01ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
13,UGACINV01ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
14,UGACINV01DC1A,DC Current Input 1,A,REAL,number,FALSE
15,UGACINV01DC1V,DC Voltage Input 1,V,REAL,number,FALSE
16,UGACINV01DC1W,DC Power Input 1,W,REAL,number,FALSE
17,UGACINV01ACW,Active Power Across all lines,W,REAL,number,FALSE
18,UGACINV01ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
19,UGACINV01ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
20,UGACINV01ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
21,UGACINV01ACL1A,Grid Current L1,A,REAL,number,FALSE
22,UGACINV01ACL2A,Grid Current L2,A,REAL,number,FALSE
23,UGACINV01ACL3A,Grid Current L3,A,REAL,number,FALSE
24,UGACINV01ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
25,UGACINV01DC2A,DC Current Input 2,I,REAL,number,FALSE
26,UGACINV01DC2V,DC Voltage Input 2,V,REAL,number,FALSE
27,UGACINV01DC2W,DC Power Input 2,W,REAL,number,FALSE
28,UGACINV01ERR,Error Code,,REAL,number,FALSE
29,UGACINV02INVSTATUS,Device Status,,REAL,number,FALSE
30,UGACINV02ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
31,UGACINV02ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
32,UGACINV02DC1A,DC Current Input 1,A,REAL,number,FALSE
33,UGACINV02DC1V,DC Voltage Input 1,V,REAL,number,FALSE
34,UGACINV02DC1W,DC Power Input 1,W,REAL,number,FALSE
35,UGACINV02ACW,Active Power Across all lines,W,REAL,number,FALSE
36,UGACINV02ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
37,UGACINV02ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
38,UGACINV02ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
39,UGACINV02ACL1A,Grid Current L1,A,REAL,number,FALSE
40,UGACINV02ACL2A,Grid Current L2,A,REAL,number,FALSE
41,UGACINV02ACL3A,Grid Current L3,A,REAL,number,FALSE
42,UGACINV02ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
43,UGACINV02DC2A,DC Current Input 2,I,REAL,number,FALSE
44,UGACINV02DC2V,DC Voltage Input 2,V,REAL,number,FALSE
45,UGACINV02DC2W,DC Power Input 2,W,REAL,number,FALSE
46,UGACINV02ERR,Error Code,,REAL,number,FALSE
47,UGACINV03INVSTATUS,Device Status,,REAL,number,FALSE
48,UGACINV03ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
49,UGACINV03ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
50,UGACINV03DC1A,DC Current Input 1,A,REAL,number,FALSE
51,UGACINV03DC1V,DC Voltage Input 1,V,REAL,number,FALSE
52,UGACINV03DC1W,DC Power Input 1,W,REAL,number,FALSE
53,UGACINV03ACW,Active Power Across all lines,W,REAL,number,FALSE
54,UGACINV03ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
55,UGACINV03ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
56,UGACINV03ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
57,UGACINV03ACL1A,Grid Current L1,A,REAL,number,FALSE
58,UGACINV03ACL2A,Grid Current L2,A,REAL,number,FALSE
59,UGACINV03ACL3A,Grid Current L3,A,REAL,number,FALSE
60,UGACINV03ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
