index,label,description,units,sql_datatype,type,hidden
1,TIMESTAMP,Unix integer timestamp,s,INTEGER,datetime,TRUE
2,YEAR,Year of the observation,,INTEGER,number,TRUE
3,MONTH,Month (1-12) of the observation,,INTEGER,number,TRUE
4,DAY,Day of the month,,INTEGER,number,TRUE
5,HOUR,Hour (0-23) of the observation,,INTEGER,number,TRUE
6,MINUTE,Minute of the Hour (0-59),,INTEGER,number,TRUE
7,DAYOFYEAR,Day of the Year,,INTEGER,number,TRUE
8,CODE1,System Code 1 (not used in database),,REAL,number,TRUE
9,CODE2,System Code 2 (not used in database),,REAL,number,TRUE
10,CODE3,System Code 3 (not used in database),,REAL,number,TRUE
11,UGADINV01INVSTATUS,Device Status,,REAL,number,FALSE
12,UGADINV01ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
13,UGADINV01ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
14,UGADINV01DC1A,DC Current Input 1,A,REAL,number,FALSE
15,UGADINV01DC1V,DC Voltage Input 1,V,REAL,number,FALSE
16,UGADINV01DC1W,DC Power Input 1,W,REAL,number,FALSE
17,UGADINV01ACW,Active Power Across all lines,W,REAL,number,FALSE
18,UGADINV01ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
19,UGADINV01ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
20,UGADINV01ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
21,UGADINV01ACL1A,Grid Current L1,A,REAL,number,FALSE
22,UGADINV01ACL2A,Grid Current L2,A,REAL,number,FALSE
23,UGADINV01ACL3A,Grid Current L3,A,REAL,number,FALSE
24,UGADINV01ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
25,UGADINV01DC2A,DC Current Input 2,I,REAL,number,FALSE
26,UGADINV01DC2V,DC Voltage Input 2,V,REAL,number,FALSE
27,UGADINV01DC2W,DC Power Input 2,W,REAL,number,FALSE
28,UGADINV01ERR,Error Code,,REAL,number,FALSE
29,UGADINV02INVSTATUS,Device Status,,REAL,number,FALSE
30,UGADINV02ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
31,UGADINV02ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
32,UGADINV02DC1A,DC Current Input 1,A,REAL,number,FALSE
33,UGADINV02DC1V,DC Voltage Input 1,V,REAL,number,FALSE
34,UGADINV02DC1W,DC Power Input 1,W,REAL,number,FALSE
35,UGADINV02ACW,Active Power Across all lines,W,REAL,number,FALSE
36,UGADINV02ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
37,UGADINV02ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
38,UGADINV02ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
39,UGADINV02ACL1A,Grid Current L1,A,REAL,number,FALSE
40,UGADINV02ACL2A,Grid Current L2,A,REAL,number,FALSE
41,UGADINV02ACL3A,Grid Current L3,A,REAL,number,FALSE
42,UGADINV02ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
43,UGADINV02DC2A,DC Current Input 2,I,REAL,number,FALSE
44,UGADINV02DC2V,DC Voltage Input 2,V,REAL,number,FALSE
45,UGADINV02DC2W,DC Power Input 2,W,REAL,number,FALSE
46,UGADINV02ERR,Error Code,,REAL,number,FALSE
47,UGADINV03INVSTATUS,Device Status,,REAL,number,FALSE
48,UGADINV03ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
49,UGADINV03ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
50,UGADINV03DC1A,DC Current Input 1,A,REAL,number,FALSE
51,UGADINV03DC1V,DC Voltage Input 1,V,REAL,number,FALSE
52,UGADINV03DC1W,DC Power Input 1,W,REAL,number,FALSE
53,UGADINV03ACW,Active Power Across all lines,W,REAL,number,FALSE
54,UGADINV03ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
55,UGADINV03ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
56,UGADINV03ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
57,UGADINV03ACL1A,Grid Current L1,A,REAL,number,FALSE
58,UGADINV03ACL2A,Grid Current L2,A,REAL,number,FALSE
59,UGADINV03ACL3A,Grid Current L3,A,REAL,number,FALSE
60,UGADINV03ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
