index,label,description,units,sql_datatype,type,hidden
1,TIMESTAMP,Unix integer timestamp,s,INTEGER,datetime,TRUE
2,YEAR,Year of the observation,,INTEGER,number,TRUE
3,MONTH,Month (1-12) of the observation,,INTEGER,number,TRUE
4,DAY,Day of the month,,INTEGER,number,TRUE
5,HOUR,Hour (0-23) of the observation,,INTEGER,number,TRUE
6,MINUTE,Minute of the Hour (0-59),,INTEGER,number,TRUE
7,DAYOFYEAR,Day of the Year,,INTEGER,number,TRUE
8,CODE1,System Code 1 (not used in database),,REAL,number,TRUE
9,CODE2,System Code 2 (not used in database),,REAL,number,TRUE
10,CODE3,System Code 3 (not used in database),,REAL,number,TRUE
11,UGAEINV01INVSTATUS,Device Status,,REAL,number,FALSE
12,UGAEINV01ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
13,UGAEINV01ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
14,UGAEINV01DC1A,DC Current Input 1,A,REAL,number,FALSE
15,UGAEINV01DC1V,DC Voltage Input 1,V,REAL,number,FALSE
16,UGAEINV01DC1W,DC Power Input 1,W,REAL,number,FALSE
17,UGAEINV01ACW,Active Power Across all lines,W,REAL,number,FALSE
18,UGAEINV01ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
19,UGAEINV01ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
20,UGAEINV01ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
21,UGAEINV01ACL1A,Grid Current L1,A,REAL,number,FALSE
22,UGAEINV01ACL2A,Grid Current L2,A,REAL,number,FALSE
23,UGAEINV01ACL3A,Grid Current L3,A,REAL,number,FALSE
24,UGAEINV01ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
25,UGAEINV01DC2A,DC Current Input 2,I,REAL,number,FALSE
26,UGAEINV01DC2V,DC Voltage Input 2,V,REAL,number,FALSE
27,UGAEINV01DC2W,DC Power Input 2,W,REAL,number,FALSE
28,UGAEINV01ERR,Error Code,,REAL,number,FALSE
29,UGAEINV02INVSTATUS,Device Status,,REAL,number,FALSE
30,UGAEINV02ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
31,UGAEINV02ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
32,UGAEINV02DC1A,DC Current Input 1,A,REAL,number,FALSE
33,UGAEINV02DC1V,DC Voltage Input 1,V,REAL,number,FALSE
34,UGAEINV02DC1W,DC Power Input 1,W,REAL,number,FALSE
35,UGAEINV02ACW,Active Power Across all lines,W,REAL,number,FALSE
36,UGAEINV02ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
37,UGAEINV02ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
38,UGAEINV02ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
39,UGAEINV02ACL1A,Grid Current L1,A,REAL,number,FALSE
40,UGAEINV02ACL2A,Grid Current L2,A,REAL,number,FALSE
41,UGAEINV02ACL3A,Grid Current L3,A,REAL,number,FALSE
42,UGAEINV02ACVAR,Reactive Power across all lines,Var,REAL,number,FALSE
43,UGAEINV02DC2A,DC Current Input 2,I,REAL,number,FALSE
44,UGAEINV02DC2V,DC Voltage Input 2,V,REAL,number,FALSE
45,UGAEINV02DC2W,DC Power Input 2,W,REAL,number,FALSE
46,UGAEINV02ERR,Error Code,,REAL,number,FALSE
47,UGAEINV03INVSTATUS,Device Status,,REAL,number,FALSE
48,UGAEINV03ACBKRSTATUS,Utility Grid Contactor State,BOOL,REAL,number,FALSE
49,UGAEINV03ACLIFEKWH,Energy Inception to Date,kWh,REAL,number,FALSE
50,UGAEINV03DC1A,DC Current Input 1,A,REAL,number,FALSE
51,UGAEINV03DC1V,DC Voltage Input 1,V,REAL,number,FALSE
52,UGAEINV03DC1W,DC Power Input 1,W,REAL,number,FALSE
53,UGAEINV03ACW,Active Power Across all lines,W,REAL,number,FALSE
54,UGAEINV03ACL1V,Grid Voltage L1 to N,V,REAL,number,FALSE
55,UGAEINV03ACL2V,Grid Voltage L2 to N,V,REAL,number,FALSE
56,UGAEINV03ACL3V,Grid Voltage L3 to N,V,REAL,number,FALSE
57,UGAEINV03ACL1A,Grid Current L1,A,REAL,number,FALSE
58,UGAEINV03ACL2A,Grid Current L2,A,REAL,number,FALSE
59,UGAEINV03ACL3A,Grid Current L3,A,REAL,number,FALSE
