index,label,description,units,sql_datatype,type,hidden
1,TIMESTAMP,Unix integer timestamp,s,INTEGER,datetime,TRUE
2,YEAR,Year of the observation,,INTEGER,number,TRUE
3,MONTH,Month (1-12) of the observation,,INTEGER,number,TRUE
4,DAY,Day of the month,,INTEGER,number,TRUE
5,HOUR,Hour (0-23) of the observation,,INTEGER,number,TRUE
6,MINUTE,Minute of the Hour (0-59),,INTEGER,number,TRUE
7,DAYOFYEAR,Day of the Year,,INTEGER,number,TRUE
8,CODE1,System Code 1 (not used in database),,REAL,number,TRUE
9,CODE2,System Code 2 (not used in database),,REAL,number,TRUE
10,CODE3,System Code 3 (not used in database),,REAL,number,TRUE
11,UGAATRACKER01AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
12,UGAATRACKER01ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
13,UGAATRACKER01AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
14,UGAATRACKER01AZMSPDEGB,Elevation Setpoint,deg,REAL,number,FALSE
15,UGAATRACKER02AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
16,UGAATRACKER02ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
17,UGAATRACKER02AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
18,UGAATRACKER02ELEVSPDEG,Elevation Setpoint,deg,REAL,number,FALSE
19,UGAATRACKER03AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
20,UGAATRACKER03ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
21,UGAATRACKER03AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
22,UGAATRACKER03ELEVSPDEG,Elevation Setpoint,deg,REAL,number,FALSE
23,UGAATRACKER04AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
24,UGAATRACKER04ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
25,UGAATRACKER04AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
26,UGAATRACKER04ELEVSPDEG,Elevation Setpoint,deg,REAL,number,FALSE
27,UGAATRACKER05AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
28,UGAATRACKER05ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
29,UGAATRACKER05AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
30,UGAATRACKER05ELEVSPDEG,Elevation Setpoint,deg,REAL,number,FALSE
31,UGAATRACKER06AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
32,UGAATRACKER06ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
33,UGAATRACKER06AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
34,UGAATRACKER06ELEVSPDEG,Elevation Setpoint,deg,REAL,number,FALSE
35,UGAATRACKER07AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
36,UGAATRACKER07ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
37,UGAATRACKER07AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
38,UGAATRACKER07ELEVSPDEG,Elevation Setpoint,deg,REAL,number,FALSE
39,UGAATRACKER08AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
40,UGAATRACKER08ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
41,UGAATRACKER08AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
42,UGAATRACKER08ELEVSPDEG,Elevation Setpoint,deg,REAL,number,FALSE
43,UGAATRACKER09AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
44,UGAATRACKER09ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
45,UGAATRACKER09AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
46,UGAATRACKER09ELEVSPDEG,Elevation Setpoint,deg,REAL,number,FALSE
47,UGAATRACKER10AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
48,UGAATRACKER10ELEVPOSDEG,Current Elevation Angle,deg,REAL,number,FALSE
49,UGAATRACKER10AZMSPDEG,Azimuth Setpoint,deg,REAL,number,FALSE
50,UGAATRACKER10ELEVSPDEG,Elevation Setpoint,deg,REAL,number,FALSE
51,UGAATRACKER11AZMPOSDEG,Current Azimuth Angle,deg,REAL,number,FALSE
